,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Alphabet Size
48,WLStarLearner,PDFA - d3d7f3f1f87048c693d4200de43ca1bd,107,107,4,2.8940296369837597,636,1,215.0,3.0,,,0.0,0.0,1.0,0,0,2
49,WLStarLearner,PDFA - d3d7f3f1f87048c693d4200de43ca1bd,107,107,5,2.7387067150557414,636,1,215.0,3.0,,,0.0,0.0,1.0,0,0,2
50,WLStarLearner,PDFA - d3d7f3f1f87048c693d4200de43ca1bd,107,107,6,2.855341956950724,636,1,215.0,3.0,,,0.0,0.0,1.0,0,0,2
51,WLStarLearner,PDFA - d3d7f3f1f87048c693d4200de43ca1bd,107,107,7,2.742975548026152,636,1,215.0,3.0,,,0.0,0.0,1.0,0,0,2
52,WLStarLearner,PDFA - d3d7f3f1f87048c693d4200de43ca1bd,107,107,8,2.9938650730764493,636,1,215.0,3.0,,,0.0,0.0,1.0,0,0,2
53,WLStarLearner,PDFA - d3d7f3f1f87048c693d4200de43ca1bd,107,107,9,2.9036740870215,636,1,215.0,3.0,,,0.0,0.0,1.0,0,0,2
54,WLStarLearner,PDFA - f76c98818c664b459d3709b06efd06ef,92,92,1,2.2479907949455082,546,1,185.0,3.0,,,0.0,0.0,1.0,0,0,2
55,WLStarLearner,PDFA - f76c98818c664b459d3709b06efd06ef,92,92,2,2.4135456109652296,546,1,185.0,3.0,,,0.0,0.0,1.0,0,0,2
56,WLStarLearner,PDFA - f76c98818c664b459d3709b06efd06ef,92,92,3,2.370582737028599,546,1,185.0,3.0,,,0.0,0.0,1.0,0,0,2
57,WLStarLearner,PDFA - f76c98818c664b459d3709b06efd06ef,92,92,4,2.4180880290223286,546,1,185.0,3.0,,,0.0,0.0,1.0,0,0,2
58,WLStarLearner,PDFA - f76c98818c664b459d3709b06efd06ef,92,92,5,2.373967228922993,546,1,185.0,3.0,,,0.0,0.0,1.0,0,0,2
59,WLStarLearner,PDFA - f76c98818c664b459d3709b06efd06ef,92,92,6,2.364183917059563,546,1,185.0,3.0,,,0.0,0.0,1.0,0,0,2
60,WLStarLearner,PDFA - f76c98818c664b459d3709b06efd06ef,92,92,7,2.342745161964558,546,1,185.0,3.0,,,0.0,0.0,1.0,0,0,2
61,WLStarLearner,PDFA - f76c98818c664b459d3709b06efd06ef,92,92,8,2.39448250294663,546,1,185.0,3.0,,,0.0,0.0,1.0,0,0,2
62,WLStarLearner,PDFA - f76c98818c664b459d3709b06efd06ef,92,92,9,2.413762237993069,546,1,185.0,3.0,,,0.0,0.0,1.0,0,0,2
63,WLStarLearner,PDFA - 25e99337dcb74bc88a62528170d934cc,103,103,1,2.838171665905975,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
64,WLStarLearner,PDFA - 25e99337dcb74bc88a62528170d934cc,103,103,2,2.7472543619805947,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
65,WLStarLearner,PDFA - 25e99337dcb74bc88a62528170d934cc,103,103,3,2.8365434469887987,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
66,WLStarLearner,PDFA - 25e99337dcb74bc88a62528170d934cc,103,103,4,2.7998181510483846,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
