,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
54,WLStarLearner,random_PDFA_nominal_size_200_10_6,206,206,1,33.38372640800662,2938,5,421.0,7.0,,,0.0,0.0,1.0,0,0,0.0
55,WLStarLearner,random_PDFA_nominal_size_200_10_6,206,206,2,33.8485173729714,2938,5,421.0,7.0,,,0.0,0.0,1.0,0,0,0.0
56,WLStarLearner,random_PDFA_nominal_size_200_10_6,206,206,3,33.48015674203634,2938,5,421.0,7.0,,,0.0,0.0,1.0,0,0,0.0
57,WLStarLearner,random_PDFA_nominal_size_200_10_6,206,206,4,35.17333858390339,2938,5,421.0,7.0,,,0.0,0.0,1.0,0,0,0.0
58,WLStarLearner,random_PDFA_nominal_size_200_10_6,206,206,5,33.62791014579125,2938,5,421.0,7.0,,,0.0,0.0,1.0,0,0,0.0
59,WLStarLearner,random_PDFA_nominal_size_200_10_6,206,206,6,34.052975804079324,2938,5,421.0,7.0,,,0.0,0.0,1.0,0,0,0.0
60,WLStarLearner,random_PDFA_nominal_size_200_10_6,206,206,7,34.771820463007316,2938,5,421.0,7.0,,,0.0,0.0,1.0,0,0,0.0
61,WLStarLearner,random_PDFA_nominal_size_200_10_6,206,206,8,33.57300324598327,2938,5,421.0,7.0,,,0.0,0.0,1.0,0,0,0.0
62,WLStarLearner,random_PDFA_nominal_size_200_10_6,206,206,9,33.788580203894526,2938,5,421.0,7.0,,,0.0,0.0,1.0,0,0,0.0
63,WLStarLearner,random_PDFA_nominal_size_200_10_7,210,210,1,41.12234742497094,3583,6,449.0,8.0,,,0.0,0.0,1.0,0,0,0.0
64,WLStarLearner,random_PDFA_nominal_size_200_10_7,210,210,2,40.43786637298763,3583,6,449.0,8.0,,,0.0,0.0,1.0,0,0,0.0
65,WLStarLearner,random_PDFA_nominal_size_200_10_7,210,210,3,41.03531142696738,3583,6,449.0,8.0,,,0.0,0.0,1.0,0,0,0.0
66,WLStarLearner,random_PDFA_nominal_size_200_10_7,210,210,4,40.32563235494308,3583,6,449.0,8.0,,,0.0,0.0,1.0,0,0,0.0
67,WLStarLearner,random_PDFA_nominal_size_200_10_7,210,210,5,40.54904651106335,3583,6,449.0,8.0,,,0.0,0.0,1.0,0,0,0.0
68,WLStarLearner,random_PDFA_nominal_size_200_10_7,210,210,6,39.82102500204928,3583,6,449.0,8.0,,,0.0,0.0,1.0,0,0,0.0
69,WLStarLearner,random_PDFA_nominal_size_200_10_7,210,210,7,38.35490579693578,3583,6,449.0,8.0,,,0.0,0.0,1.0,0,0,0.0
70,WLStarLearner,random_PDFA_nominal_size_200_10_7,210,210,8,38.74220036086626,3583,6,449.0,8.0,,,0.0,0.0,1.0,0,0,0.0
71,WLStarLearner,random_PDFA_nominal_size_200_10_7,210,210,9,39.532960469136015,3583,6,449.0,8.0,,,0.0,0.0,1.0,0,0,0.0
72,WLStarLearner,random_PDFA_nominal_size_200_10_8,187,186,1,21.441605354193598,2616,5,375.0,7.0,,,0.0,0.0,1.0,0,0,0.0
73,WLStarLearner,random_PDFA_nominal_size_200_10_8,187,186,2,21.748541647102684,2616,5,375.0,7.0,,,0.0,0.0,1.0,0,0,0.0
74,WLStarLearner,random_PDFA_nominal_size_200_10_8,187,186,3,21.83212092402391,2616,5,375.0,7.0,,,0.0,0.0,1.0,0,0,0.0
75,WLStarLearner,random_PDFA_nominal_size_200_10_8,187,186,4,21.841264612041414,2616,5,375.0,7.0,,,0.0,0.0,1.0,0,0,0.0
76,WLStarLearner,random_PDFA_nominal_size_200_10_8,187,186,5,21.46437622490339,2616,5,375.0,7.0,,,0.0,0.0,1.0,0,0,0.0
77,WLStarLearner,random_PDFA_nominal_size_200_10_8,187,186,6,21.58088097302243,2616,5,375.0,7.0,,,0.0,0.0,1.0,0,0,0.0
78,WLStarLearner,random_PDFA_nominal_size_200_10_8,187,186,7,23.921234348090366,2616,5,375.0,7.0,,,0.0,0.0,1.0,0,0,0.0
79,WLStarLearner,random_PDFA_nominal_size_200_10_8,187,186,8,22.16815149411559,2616,5,375.0,7.0,,,0.0,0.0,1.0,0,0,0.0
80,WLStarLearner,random_PDFA_nominal_size_200_10_8,187,186,9,21.563244509976357,2616,5,375.0,7.0,,,0.0,0.0,1.0,0,0,0.0
81,WLStarLearner,random_PDFA_nominal_size_200_10_9,209,209,1,30.40081928204745,3816,7,425.0,9.0,,,0.0,0.0,1.0,0,0,0.0
82,WLStarLearner,random_PDFA_nominal_size_200_10_9,209,209,2,30.150397351011634,3816,7,425.0,9.0,,,0.0,0.0,1.0,0,0,0.0
83,WLStarLearner,random_PDFA_nominal_size_200_10_9,209,209,3,29.589054686948657,3816,7,425.0,9.0,,,0.0,0.0,1.0,0,0,0.0
84,WLStarLearner,random_PDFA_nominal_size_200_10_9,209,209,4,30.636205283924937,3816,7,425.0,9.0,,,0.0,0.0,1.0,0,0,0.0
85,WLStarLearner,random_PDFA_nominal_size_200_10_9,209,209,5,39.181790167000145,3816,7,425.0,9.0,,,0.0,0.0,1.0,0,0,0.0
86,WLStarLearner,random_PDFA_nominal_size_200_10_9,209,209,6,31.32553728786297,3816,7,425.0,9.0,,,0.0,0.0,1.0,0,0,0.0
87,WLStarLearner,random_PDFA_nominal_size_200_10_9,209,209,7,31.135697985999286,3816,7,425.0,9.0,,,0.0,0.0,1.0,0,0,0.0
88,WLStarLearner,random_PDFA_nominal_size_200_10_9,209,209,8,29.851209382060915,3816,7,425.0,9.0,,,0.0,0.0,1.0,0,0,0.0
89,WLStarLearner,random_PDFA_nominal_size_200_10_9,209,209,9,29.754562069196254,3816,7,425.0,9.0,,,0.0,0.0,1.0,0,0,0.0
90,WLStarLearner,random_PDFA_nominal_size_200_8_0,208,208,1,30.075162891997024,2924,5,419.0,7.0,,,0.0,0.0,1.0,0,0,0.0
91,WLStarLearner,random_PDFA_nominal_size_200_8_0,208,208,2,29.498626037035137,2924,5,419.0,7.0,,,0.0,0.0,1.0,0,0,0.0
92,WLStarLearner,random_PDFA_nominal_size_200_8_0,208,208,3,29.411237817956135,2924,5,419.0,7.0,,,0.0,0.0,1.0,0,0,0.0
93,WLStarLearner,random_PDFA_nominal_size_200_8_0,208,208,4,29.582893745973706,2924,5,419.0,7.0,,,0.0,0.0,1.0,0,0,0.0
94,WLStarLearner,random_PDFA_nominal_size_200_8_0,208,208,5,29.644099263940006,2924,5,419.0,7.0,,,0.0,0.0,1.0,0,0,0.0
95,WLStarLearner,random_PDFA_nominal_size_200_8_0,208,208,6,29.392643159953877,2924,5,419.0,7.0,,,0.0,0.0,1.0,0,0,0.0
96,WLStarLearner,random_PDFA_nominal_size_200_8_0,208,208,7,29.688361033098772,2924,5,419.0,7.0,,,0.0,0.0,1.0,0,0,0.0
97,WLStarLearner,random_PDFA_nominal_size_200_8_0,208,208,8,28.912391727790236,2924,5,419.0,7.0,,,0.0,0.0,1.0,0,0,0.0
98,WLStarLearner,random_PDFA_nominal_size_200_8_0,208,208,9,29.940747587941587,2924,5,419.0,7.0,,,0.0,0.0,1.0,0,0,0.0
99,WLStarLearner,random_PDFA_nominal_size_200_8_1,205,205,1,28.80156879988499,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
