,Algorithm,Instance,Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,LogProbError,WER,NDCG,OOPartition,OOTolerance
74,QuantNaryTreeLearner,PDFA - 155fba8464c8404895e44138a28aadc4,1013,3,39.60039393603802,6087,2,,,0,0.0,0.0,1.0,0,0
75,QuantNaryTreeLearner,PDFA - 155fba8464c8404895e44138a28aadc4,1013,4,39.189264602959156,6087,2,,,0,0.0,0.0,1.0,0,0
76,QuantNaryTreeLearner,PDFA - 155fba8464c8404895e44138a28aadc4,1013,5,39.13491076044738,6087,2,,,0,0.0,0.0,1.0,0,0
77,QuantNaryTreeLearner,PDFA - 155fba8464c8404895e44138a28aadc4,1013,6,39.39861364476383,6087,2,,,0,0.0,0.0,1.0,0,0
78,QuantNaryTreeLearner,PDFA - 155fba8464c8404895e44138a28aadc4,1013,7,39.58682516403496,6087,2,,,0,0.0,0.0,1.0,0,0
79,QuantNaryTreeLearner,PDFA - 155fba8464c8404895e44138a28aadc4,1013,8,39.361170465126634,6087,2,,,0,0.0,0.0,1.0,0,0
80,QuantNaryTreeLearner,PDFA - 155fba8464c8404895e44138a28aadc4,1013,9,39.10697528719902,6087,2,,,0,0.0,0.0,1.0,0,0
81,QuantNaryTreeLearner,PDFA - e00340c785a34e18a54a48ef99377fe2,999,1,38.66822401061654,6003,2,,,0,0.0,0.0,1.0,0,0
82,QuantNaryTreeLearner,PDFA - e00340c785a34e18a54a48ef99377fe2,999,2,38.067808436229825,6003,2,,,0,0.0,0.0,1.0,0,0
83,QuantNaryTreeLearner,PDFA - e00340c785a34e18a54a48ef99377fe2,999,3,37.820821007713675,6003,2,,,0,0.0,0.0,1.0,0,0
84,QuantNaryTreeLearner,PDFA - e00340c785a34e18a54a48ef99377fe2,999,4,37.9253697078675,6003,2,,,0,0.0,0.0,1.0,0,0
85,QuantNaryTreeLearner,PDFA - e00340c785a34e18a54a48ef99377fe2,999,5,38.3896653149277,6003,2,,,0,0.0,0.0,1.0,0,0
86,QuantNaryTreeLearner,PDFA - e00340c785a34e18a54a48ef99377fe2,999,6,37.35161007195711,6003,2,,,0,0.0,0.0,1.0,0,0
87,QuantNaryTreeLearner,PDFA - e00340c785a34e18a54a48ef99377fe2,999,7,37.81053485348821,6003,2,,,0,0.0,0.0,1.0,0,0
88,QuantNaryTreeLearner,PDFA - e00340c785a34e18a54a48ef99377fe2,999,8,38.16432018391788,6003,2,,,0,0.0,0.0,1.0,0,0
89,QuantNaryTreeLearner,PDFA - e00340c785a34e18a54a48ef99377fe2,999,9,37.84864962659776,6003,2,,,0,0.0,0.0,1.0,0,0
90,QuantNaryTreeLearner,PDFA - 35fe7ec06fcf40c89ecdab20fb662095,2023,1,189.15469865128398,12159,3,,,0,0.0,0.0,1.0,0,0
91,QuantNaryTreeLearner,PDFA - 35fe7ec06fcf40c89ecdab20fb662095,2023,2,189.42260033264756,12159,3,,,0,0.0,0.0,1.0,0,0
92,QuantNaryTreeLearner,PDFA - 35fe7ec06fcf40c89ecdab20fb662095,2023,3,188.91107507795095,12159,3,,,0,0.0,0.0,1.0,0,0
93,QuantNaryTreeLearner,PDFA - 35fe7ec06fcf40c89ecdab20fb662095,2023,4,189.47558740526438,12159,3,,,0,0.0,0.0,1.0,0,0
94,QuantNaryTreeLearner,PDFA - 35fe7ec06fcf40c89ecdab20fb662095,2023,5,189.06716539897025,12159,3,,,0,0.0,0.0,1.0,0,0
95,QuantNaryTreeLearner,PDFA - 35fe7ec06fcf40c89ecdab20fb662095,2023,6,187.87859519571066,12159,3,,,0,0.0,0.0,1.0,0,0
96,QuantNaryTreeLearner,PDFA - 35fe7ec06fcf40c89ecdab20fb662095,2023,7,189.39543735608459,12159,3,,,0,0.0,0.0,1.0,0,0
97,QuantNaryTreeLearner,PDFA - 35fe7ec06fcf40c89ecdab20fb662095,2023,8,187.73703857138753,12159,3,,,0,0.0,0.0,1.0,0,0
98,QuantNaryTreeLearner,PDFA - 35fe7ec06fcf40c89ecdab20fb662095,2023,9,188.70458711497486,12159,3,,,0,0.0,0.0,1.0,0,0
99,QuantNaryTreeLearner,PDFA - 41a8d4e64e9c4a48bbccdba1bde46770,2047,1,231.3307894412428,12375,10,,,0,0.0,0.0,1.0,0,0
100,QuantNaryTreeLearner,PDFA - 41a8d4e64e9c4a48bbccdba1bde46770,2047,2,231.17528955079615,12375,10,,,0,0.0,0.0,1.0,0,0
101,QuantNaryTreeLearner,PDFA - 41a8d4e64e9c4a48bbccdba1bde46770,2047,3,230.7638309467584,12375,10,,,0,0.0,0.0,1.0,0,0
102,QuantNaryTreeLearner,PDFA - 41a8d4e64e9c4a48bbccdba1bde46770,2047,4,231.30288705043495,12375,10,,,0,0.0,0.0,1.0,0,0
103,QuantNaryTreeLearner,PDFA - 41a8d4e64e9c4a48bbccdba1bde46770,2047,5,231.85938093997538,12375,10,,,0,0.0,0.0,1.0,0,0
104,QuantNaryTreeLearner,PDFA - 41a8d4e64e9c4a48bbccdba1bde46770,2047,6,231.82690364308655,12375,10,,,0,0.0,0.0,1.0,0,0
105,QuantNaryTreeLearner,PDFA - 41a8d4e64e9c4a48bbccdba1bde46770,2047,7,233.10545730404556,12375,10,,,0,0.0,0.0,1.0,0,0
106,QuantNaryTreeLearner,PDFA - 41a8d4e64e9c4a48bbccdba1bde46770,2047,8,231.42492496035993,12375,10,,,0,0.0,0.0,1.0,0,0
107,QuantNaryTreeLearner,PDFA - 41a8d4e64e9c4a48bbccdba1bde46770,2047,9,231.90949629247189,12375,10,,,0,0.0,0.0,1.0,0,0
108,QuantNaryTreeLearner,PDFA - 8cec3fdb37394560a90d0ad315dd8716,2011,1,217.22611126489937,12132,7,,,0,0.0,0.0,1.0,0,0
109,QuantNaryTreeLearner,PDFA - 8cec3fdb37394560a90d0ad315dd8716,2011,2,216.61274045147002,12132,7,,,0,0.0,0.0,1.0,0,0
