,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Partitions,Tolerance
66,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,4,2.6585898119956255,763,2,193.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
67,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,5,2.470068797003478,763,2,193.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
68,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,6,2.479920861980645,763,2,193.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
69,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,7,2.540039284998784,763,2,193.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
70,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,8,2.4889822640107013,763,2,193.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
71,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,9,2.5581627240171656,763,2,193.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
72,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,1,1.81908917700639,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
73,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,2,1.8290999330056366,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
74,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,3,1.8740039730037097,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
75,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,4,1.8394960699952208,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
76,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,5,1.9704097780049779,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
77,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,6,1.9613972390070558,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
78,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,7,1.9158225860155653,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
79,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,8,1.8884477090032306,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
80,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,9,1.9127062570187263,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,500,0.002
81,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,1,1.8572977479780093,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
82,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,2,1.9203621319902595,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
83,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,3,1.8982566889899317,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
